Lab 1,Lab 2,Lab 3,Lab 4,Lab 5,Lab 6,Lab 7,Lab 8,Lab 9,Assignment 1,Assignment 2,Assignment 3,Assignment 4,Assignment 5,Midterm,W-AVG
12,10.3682839,9.633954833,8.941691521,14.10023768,3.084232862,9.775031939,8.249698945,10.98456597,38.91664854,35.11439071,35.53580693,43.36629252,20.41714436,6.220164142,64.27490723
10,8.066458643,10.23813034,8.726484531,11.82228302,9.416631607,11.48276278,8.087028045,11.49030244,39.04782397,34.34215568,33.24212845,45.06626357,31.65560996,18.5491908,81.75936615
9,7.728894912,8.024806719,2.91642058,15.01067677,7.217994955,10.18342504,7.361582884,9.18359705,6.956479117,34.65702629,30.7208513,44.00042059,29.56299381,5.392576525,44.96353647
9,10.2394606,8.712834512,9.215934172,13.61806221,11.62781504,10.54596538,11.10987847,11.05591153,41.7307413,34.39674748,36.9710113,41.174104,29.70502498,27.44938352,86.52562167
9,9.454026722,7.617259491,8.257065934,11.16388303,10.05014189,9.526423685,10.43832654,9.659452987,39.80527387,25.40698537,0.0,46.256542,28.22496713,23.21521468,78.22491565
12,11.05294835,8.229030379,10.48497665,16.47485655,11.85459506,10.49106176,9.811515948,10.83159033,40.198198,35.72672294,35.49417802,43.68909285,30.29952242,27.55467157,93.51598064
12,6.574245089,11.16850986,10.44382934,14.38767601,8.59848354,8.023571115,8.895958592,11.19955695,37.03842632,35.95819665,34.02994612,38.30884495,31.53262201,5.370711967,66.51519776
11,11.28576622,10.61713318,11.54488532,13.57884038,10.48809751,11.07837603,10.60757856,9.967027265,38.67942559,35.50131971,36.66365364,44.51504294,27.58673881,16.19800248,70.51296675
9,10.5650929,11.24217137,11.81916904,14.07115541,8.353785798,8.155964645,10.59720959,8.113977764,38.91519632,34.90360286,35.16471159,44.62254627,30.78682921,19.61596201,81.04123812
2,6.494192942,9.984572796,2.405173961,11.00344019,8.464802913,8.281267765,10.07526408,5.031358408,17.80745429,29.4814118,35.60780888,37.51475284,27.7200316,15.25850315,56.14609449
8,9.887780345,8.936621827,10.99509557,15.16919544,11.87694938,8.918747978,9.140184539,8.84683987,39.4243557,34.33435341,15.40871332,44.34869523,31.2330154,20.71726533,71.8162231
10,10.07649297,9.655890313,11.00581976,13.89624542,11.84169931,8.506605296,10.2331223,0.241154918,40.57663596,36.78526085,32.94079198,38.2799401,28.1662799,15.24743071,63.85402714
2,0.761525919,0.0,0.514897619,-1.005716861,-1.292437078,-1.979443858,10.95449613,11.79562261,0.0,-0.841822022,1.624484295,40.98747407,30.00950421,18.68852279,59.13671895
12,11.8464708,9.317780713,10.80879549,13.42204839,9.917739895,11.16395264,8.634465259,11.06400965,40.2747337,36.29542342,34.03336487,44.34619315,28.36757183,18.92006719,76.53240127
12,8.844628157,9.928527404,11.00375215,14.56700866,11.90309848,9.947216542,9.124817783,9.131547502,40.86858064,35.89911342,35.11144034,44.7480682,29.56170316,15.63573026,74.04137389
12,9.959571039,9.472072765,10.00809481,13.73944939,8.521779296,8.847177188,7.223776863,11.95778031,41.06984451,34.14111631,35.67195168,45.96834032,31.3654442,5.93299507,67.48579399
9,9.704341508,10.85648066,11.25463669,14.70432014,7.887763331,8.482756383,-0.47104232,0.0,41.75508598,35.24149915,-1.150972062,46.93593761,31.91601803,20.94137594,68.89651077
9,-1.667292903,0.0,6.130668915,0.0,0.0,0.0,-0.339981665,0.0,0.0,32.20538864,1.566908245,38.56773171,0.0,4.31864449,22.2295075
11,4.221472358,10.25098003,11.67630331,13.0628574,10.77459785,10.57259811,10.73217612,10.81034111,38.95957546,35.32362547,33.35464975,42.57444561,31.80824883,9.121536659,67.23631219
8,10.83060591,6.579205892,7.414662084,15.26926832,8.702430177,8.642888178,9.234481837,10.59995788,39.89741349,33.42511326,34.85929631,44.26532071,30.37653563,14.10096039,57.01821329
8,9.185813165,7.681667931,8.504738842,16.85300057,11.95101667,8.48321236,9.669191019,8.095204674,39.24270311,36.03319282,17.64234142,46.38034689,24.92823268,4.828194669,48.33878133
0,0.0,0.0,1.215500899,0.0,0.0,0.0,0.0,0.0,0.0,-1.049507302,-0.850042983,29.16182863,1.429549369,0.095732423,5.581334256
9,11.54876151,7.078118367,10.53326146,12.78688126,10.15208448,11.83154686,8.655634652,8.681543547,41.54731244,36.63804031,34.67748033,44.98875899,29.3845962,15.92777699,70.62263738
10,6.07330751,6.651843927,11.58190317,15.74017139,11.10764487,0.0,8.225925409,9.279401556,39.50269424,33.57634316,35.40135438,0.0,19.27477694,26.69555865,75.96627129
12,10.41547721,7.249728186,9.943186952,15.84122202,10.30687022,8.854436305,8.39562022,8.651810694,40.76363432,36.83739292,34.55090349,46.77869743,30.99527095,20.26796637,70.88408052
12,11.5852598,8.201239034,9.580912728,14.49191859,10.67992602,8.994068349,8.148868647,11.34685104,38.98980978,36.48544498,36.33874893,43.30700599,28.57416447,22.2302475,78.9420774
8,11.257379,10.31990559,8.60337863,15.17135417,8.666765423,8.167595168,9.347640964,11.7618307,38.53068524,35.58935949,35.09370663,44.36846922,26.8820637,20.39930004,85.48029291
10,2.56606698,8.290536914,8.168363856,15.01151774,10.99350649,11.11348824,8.281690876,8.692327497,0.0,33.42395663,35.25788941,42.56634836,1.22067173,7.655343603,51.45606977
9,-1.166169474,0.465762845,3.076860708,13.42395166,5.74926976,10.28857974,10.60798752,9.109397895,0.0,0.0,34.66876238,38.62741069,22.04017242,18.52985296,57.32133477
11,10.61571847,10.31384437,8.894936806,14.72879487,11.78553629,8.313650222,0.0,11.20254081,40.70589886,35.19304967,24.795096,44.78883391,28.03872394,17.3503613,50.33031186
12,8.559729842,9.859966663,11.44381137,16.55983767,10.74773786,9.481348064,10.16190262,10.71837775,41.39438407,34.37438436,33.69387324,43.5135184,28.65719911,17.7973106,75.43243099
10,9.247193469,10.21393051,10.99541534,13.60753582,8.904646538,3.638026723,7.715493998,11.21283855,38.60933433,33.97735915,35.22937996,44.05301659,-0.374461844,15.02518382,75.83010827
9,3.28891429,8.193936772,7.38729487,13.6583438,3.531554202,9.554435666,10.15613121,11.13699004,0.0,29.54800752,33.74574161,42.63167022,26.23738305,12.00936635,60.50013578
10,8.682164302,0.0,6.942744325,14.95173693,8.097475354,10.44376247,10.89208949,10.60988893,0.0,36.40547205,32.87673351,46.79563548,0.456904176,15.55096636,74.95360039
12,10.93585691,6.245430921,11.33143908,13.25995967,7.040916629,9.576519749,10.74245493,9.347699622,28.4643177,33.26083798,33.07584272,39.49413559,13.79236371,16.47712037,70.55594243
11,9.081654368,2.728989571,4.019804821,15.34965948,9.00891522,10.96189717,9.663959084,7.656151439,40.54395463,33.31299993,33.38002758,29.09420491,20.99893596,8.66082352,56.69858949
12,11.42450574,7.065674008,9.777142263,14.77009272,8.476433955,10.21436001,7.341751238,11.44220194,40.43045764,34.8357229,33.86264236,45.73247535,31.49656195,21.47357735,87.78847637
1,1.656960783,0.0,8.262264981,15.72166939,2.76672436,0.0,10.86525609,8.703679636,0.0,33.73686028,36.95582545,37.70424151,13.14751146,22.15932536,59.61100092
-2,0.238584458,0.0,8.151054426,8.989712864,8.798913112,10.92923901,9.423646625,8.063526925,0.0,28.00203551,35.53814127,38.63680876,16.07316627,19.4410355,60.03938391
0,-1.827715399,7.865327586,4.289192596,8.600967412,0.0,11.75634532,7.519874748,7.386967506,0.0,32.68637251,28.24563044,19.74008778,18.22973963,0.0,32.801289
11,11.10438423,8.922779973,8.422873308,15.1009567,9.621460249,8.774484037,10.57645204,11.25032834,41.55935538,35.32206278,36.9128995,46.80939644,28.47110007,24.62767951,91.26799077
8,8.7884597,6.428161742,8.155988246,13.63446351,9.778649028,9.317511398,8.366729994,8.249887687,35.04335748,32.92935997,0.0,46.95823708,31.92749698,25.15962329,82.20861017
12,10.71430919,8.993189924,8.586454012,15.80257557,11.42787905,8.058167408,5.042036025,8.962485055,41.06003001,35.34417159,34.18164015,35.75814338,31.58830617,8.680248176,60.82986203
1,0.0,0.0,-0.203520355,0.0,0.0,0.0,-1.157170858,0.0,0.147892343,0.0,29.98481146,28.38783253,0.0,0.0,6.051142864
12,10.23964317,7.901308719,7.315238279,16.56323542,0.0,11.6232942,7.133711371,11.53793605,36.82836246,0.0,0.0,40.96056803,16.46456146,19.48445626,66.38597443
9,10.86108334,7.903910047,9.611207876,14.5252983,10.65479392,10.90416721,9.618013428,9.227333355,24.45697951,34.41161568,31.16544921,45.21146219,30.72825856,5.575610208,59.09928593
8,0.257357334,8.846223976,10.37293587,14.11568798,0.0,0.0,6.477243185,8.137521184,24.78987123,30.25546168,33.1923003,36.39651466,4.182818142,0.993945417,46.40419831
-2,10.07000428,0.0,10.33287364,14.01457633,9.82909773,8.660297778,4.022600891,8.109962464,40.32817973,32.21855714,34.05383477,45.16680809,28.00976937,7.24431224,36.13485243
9,10.39280596,0.178752108,6.828297279,14.9432076,8.186365167,11.54990875,1.878691843,11.79059894,35.94610261,36.84657045,0.0,41.37570088,30.38733197,13.31033214,58.83803908
8,10.30684288,8.199035158,11.23903083,13.55669324,11.59423378,9.087445107,9.085857279,9.787990254,41.60576825,33.45447286,36.51632214,45.80685138,31.57279648,24.71670653,83.17854984
10,10.20548802,11.7395739,8.317489721,14.39594182,8.685040112,9.313419029,11.32447106,8.810085294,40.10344037,34.986671,33.19691865,43.89016424,30.98534658,30.28598401,100.8737178
12,8.709396957,0.0,9.193824149,14.35772159,9.496132027,7.668644149,9.708592206,11.47964747,41.10861961,36.57110701,32.85093795,45.07247579,30.55285063,5.386940405,52.19710991
8,8.378425615,0.486727234,8.116988244,0.0,10.22816967,0.0,9.039344832,0.0,0.472239009,36.90559519,30.19782758,36.08233624,0.0,2.239588305,46.9024417
12,11.31534093,11.29486274,8.168101369,15.65843427,8.922862855,10.90937075,9.178550354,11.61440148,36.79536473,33.38072385,33.25754208,44.14905653,29.64586279,24.57463545,86.53710519
8,11.80902982,9.045068254,8.967666053,9.037719535,8.688136336,11.66960486,11.40977815,8.555015594,39.20072536,33.52765069,32.49310726,43.87676131,28.57956598,14.89369745,67.24152144
11,0.0,-0.682629883,5.28419909,9.115186703,0.0,0.0,7.704967865,8.392237001,0.891861219,0.0,0.0,39.47766326,20.59155364,16.59568262,30.66457073
11,8.679329387,8.354162629,10.54333226,16.12799394,0.0,10.92411521,9.542970374,8.913239089,36.88091456,34.4734326,35.31986383,46.39250458,30.60587371,10.15531167,65.27910988
8,8.173490514,1.95925895,10.64070715,15.86215036,11.01470671,8.243979508,9.787614638,9.675646107,31.36353852,33.1840578,0.0,43.32651793,28.03047663,3.166884269,54.71875893
11,11.22247759,10.56562317,8.454532599,16.06567857,6.891632398,11.61511536,11.92162772,10.41632915,39.68211796,36.85412664,34.84966081,46.68789873,30.45887702,16.38969694,72.00817931
1,0.0,5.275771558,4.192901535,12.55683622,9.619854804,10.18075792,7.817605156,0.0,-1.756962443,6.552497818,33.8699424,32.14202949,0.0,7.485444543,36.26716561
9,9.953706486,8.219060592,7.546294861,14.78994818,0.0,9.402322628,-0.446173595,0.0,38.55071838,33.62982721,33.69561276,0.087187479,0.0,23.44109585,74.4260318
9,8.390254814,9.893840605,8.091673634,12.66925058,9.939053305,3.234640535,9.579955177,8.980213381,0.0,32.48924138,31.29588516,39.76487165,28.90569606,25.80948575,82.16049148
8,10.58719543,9.678507596,9.352682016,16.51735263,8.479741752,9.355842185,9.973872938,9.52082168,37.66741047,36.88423158,31.87292286,43.03276695,16.96493562,16.22328985,59.53899853
9,9.037200157,10.87650601,11.6015847,15.05231047,9.540087262,8.129711949,8.807731845,9.431330713,40.57812724,35.31959928,33.95175489,43.62883972,29.40220463,23.49941955,78.51988837
10,11.38610936,11.5324485,8.712736638,14.46377451,8.483143812,10.86674093,10.40419949,10.79029477,40.7873796,35.52637164,36.25291664,46.61750892,29.21506884,27.92087505,94.89378019
8,0.0,5.474797843,7.027965444,11.34296677,8.010588923,10.58438055,8.854424932,8.893496774,38.72552727,34.21703621,36.80062137,43.35535394,28.72622201,19.45842738,68.5653081
11,8.190113809,7.017170622,8.07034141,14.33991254,9.462003915,9.671279456,8.879018529,8.376966742,40.9021034,34.14560565,33.63592897,44.72360341,31.71742924,12.74945281,64.08958631
1,0.0,0.0,5.878199395,0.0,0.0,0.0,1.952339514,0.0,33.17009875,0.0,0.0,-0.985787024,0.0,0.0,3.670605661
12,0.0,0.0,0.214228132,0.0,0.0,0.0,0.951898516,0.0,40.45262829,0.0,0.0,0.9402545,0.0,10.68607355,14.99653177
9,10.03048117,8.966328322,7.894503262,10.60025658,8.297532263,0.0,8.892110491,6.188353364,37.3736332,36.40573109,32.77372942,42.63004252,29.70649769,6.768623592,62.80390099
12,4.849579287,10.86731495,9.479619136,14.25522244,11.78460334,11.16976786,10.985057,10.92764117,40.79707212,36.15673415,33.04383844,46.76736885,30.06851926,25.69010912,88.24712972
11,10.14404316,7.786423152,10.04988479,15.5775806,11.27956852,11.42996399,9.814576134,8.906205721,41.63216065,33.09677413,30.04958864,44.75791013,30.14404117,25.27924033,83.29722821
8,9.412389113,6.343391979,8.525924571,16.38842446,9.438311827,11.03501118,11.45512639,8.93952978,29.24090066,35.08059066,28.7426141,46.95898744,31.74577634,23.31820214,88.91817683
5,1.794488669,0.0,0.0,0.0,0.0,0.0,1.66907198,0.0,0.0,0.0,0.0,5.720778016,0.0,0.0,19.46576976
9,10.5845269,11.99598555,10.66152918,14.38771306,8.282499555,11.71907716,10.66292832,11.71474332,41.48872814,35.74638598,34.0590129,44.07960263,28.07975781,25.12137234,86.31273628
